Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,1875,1913.890015,1860,1906.859985,1906.859985,15900100
2020-01-08,1898.040039,1917.819946,1858.550049,1869.439941,1869.439941,15750700
2020-01-15,1872.25,1894.27002,1855.089966,1892,1892,13261200
2020-01-22,1896.089966,1902.5,1815.339966,1853.25,1853.25,15803600
2020-01-29,1864,2059.800049,1850.609985,2049.669922,2049.669922,35171100
2020-02-05,2071.02002,2185.949951,2024.800049,2150.800049,2150.800049,23456700
2020-02-12,2163.199951,2180.25,2124.110107,2155.669922,2155.669922,11917900
2020-02-19,2167.800049,2185.100098,1958.420044,1972.73999,1972.73999,23104900
2020-02-26,1970.280029,2014.670044,1811.130005,1908.98999,1908.98999,37158600
2020-03-04,1946.569946,1978,1761.290039,1891.819946,1891.819946,29741200
2020-03-11,1857.849976,1871.319946,1626.030029,1807.839966,1807.839966,45615100
2020-03-18,1750,1957,1745,1940.099976,1940.099976,44818600
2020-03-25,1920.689941,1993.02002,1885.780029,1949.719971,1949.719971,29338000
2020-04-01,1932.969971,2035.719971,1889.150024,2011.599976,2011.599976,22955000
2020-04-08,2021,2292,2011.150024,2283.320068,2283.320068,23436800
2020-04-15,2257.679932,2461,2245,2328.120117,2328.120117,40082200
2020-04-22,2369,2444.879883,2306,2314.080078,2314.080078,24031700
2020-04-29,2330.01001,2475,2256.379883,2317.800049,2317.800049,32007200
2020-05-06,2329.439941,2419.669922,2320,2356.949951,2356.949951,16059500
2020-05-13,2366.800049,2485,2337.800049,2449.330078,2449.330078,21353100
2020-05-20,2477.870117,2525.449951,2414.060059,2421.860107,2421.860107,15547800
2020-05-27,2404.98999,2476.929932,2330,2472.409912,2472.409912,17235200
2020-06-03,2468.01001,2626.429932,2437.129883,2600.860107,2600.860107,18072800
2020-06-10,2645,2722.350098,2503.350098,2615.27002,2615.27002,23632900
2020-06-17,2647.5,2783.110107,2631.820068,2764.409912,2764.409912,18664600
2020-06-24,2780,2796,2630.080078,2758.820068,2758.820068,21989200
2020-07-01,2757.98999,3069.550049,2754,3000.120117,3000.120117,25094900
2020-07-08,3022.610107,3344.290039,2950,3084,3084,31864600
2020-07-15,3080.22998,3240.580078,2918.22998,3138.290039,3138.290039,30677600
2020-07-22,3125,3150,2888,3000.330078,3000.330078,22690700
2020-07-29,3030.98999,3246.820068,2996.77002,3138.830078,3138.830078,26956900
2020-08-05,3143.77002,3247.469971,3073,3080.669922,3080.669922,18692100
2020-08-12,3108,3320,3101.419922,3312.48999,3312.48999,17465100
2020-08-19,3303.01001,3380.320068,3238,3346.48999,3346.48999,19752600
2020-08-26,3351.110107,3513.870117,3344.570068,3499.120117,3499.120117,21332800
2020-09-02,3547,3552.25,3111.129883,3149.840088,3149.840088,26968600
2020-09-09,3202.98999,3349.889893,3083.97998,3156.129883,3156.129883,24164500
2020-09-16,3179.98999,3187.23999,2871,3128.98999,3128.98999,32920600
2020-09-23,3120.429932,3188.26001,2965,3144.879883,3144.879883,23517300
2020-09-30,3141.139893,3224,3090,3099.959961,3099.959961,24343300
2020-10-07,3135,3496.23999,3132.389893,3443.629883,3443.629883,26500300
2020-10-14,3447,3464.879883,3160,3217.01001,3217.01001,27260000
2020-10-21,3212.5,3291.659912,3121.939941,3286.330078,3286.330078,22463600
2020-10-28,3249.300049,3264.02002,2950.120117,3048.409912,3048.409912,32726500
2020-11-04,3159.98999,3366.800049,3019.47998,3035.02002,3035.02002,31057000
2020-11-11,3061.780029,3189.25,3050,3135.659912,3135.659912,19738500
2020-11-18,3134,3140,3065.459961,3118.060059,3118.060059,17612500
2020-11-25,3141.870117,3248.949951,3125.550049,3220.080078,3220.080078,14791600
2020-12-02,3221.649902,3232,3120.02002,3177.290039,3177.290039,14972500
2020-12-09,3167.889893,3190.469971,3072.820068,3165.120117,3165.120117,17675200
2020-12-16,3176.01001,3263.51001,3163.679932,3206.52002,3206.52002,20103800
2020-12-23,3205,3350.649902,3169,3322,3322,14105400
2020-12-30,3341,3342.100098,3144.02002,3218.51001,3218.51001,13233400
2021-01-06,3146.47998,3208.540039,3086,3120.830078,3120.830078,18645000
2021-01-13,3128.439941,3189.949951,3095.169922,3120.76001,3120.76001,13941200
2021-01-20,3181.98999,3363.889893,3175,3326.129883,3326.129883,19781800
2021-01-27,3341.48999,3427.73999,3184.550049,3380,3380,23353800
2021-02-03,3425.01001,3434,3277.75,3305,3305,19834000
2021-02-10,3314,3317.949951,3233.310059,3268.949951,3268.949951,10351400
2021-02-17,3263.600098,3338,3093.600098,3194.5,3194.5,18823000
2021-02-24,3166.75,3178.26001,3036.699951,3094.530029,3094.530029,17137700
2021-03-03,3081.179932,3107.780029,2881,3062.850098,3062.850098,23011300
2021-03-10,3098.449951,3131.780029,3030.050049,3091.860107,3091.860107,13621700
2021-03-17,3073.219971,3182,3016.629883,3137.5,3137.5,18086400
2021-03-24,3151.040039,3160.310059,2996,3055.290039,3055.290039,14912800
2021-03-31,3064.060059,3247.310059,3062.5,3223.820068,3223.820068,11906900
2021-04-07,3233.800049,3432,3223.649902,3400,3400,17090500
2021-04-14,3404.040039,3435.929932,3316,3334.689941,3334.689941,14910500
2021-04-21,3316,3428.449951,3301.449951,3409,3409,12820900
