Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,23319.75977,23577.43945,23148.5293,23575.7207,23575.7207,137100000
2020-01-08,23217.49023,24059.85938,22951.17969,24025.16992,24025.16992,261700000
2020-01-15,23923.48047,24115.94922,23843.48047,23864.56055,23864.56055,254900000
2020-01-22,23835.49023,24040.86914,23115.15039,23215.71094,23215.71094,280000000
2020-01-29,23309.32031,23421.58984,22775.91992,23084.58984,23084.58984,340300000
2020-02-05,23351.4707,23995.36914,23241.64063,23685.98047,23685.98047,287300000
2020-02-12,23741.21094,23908.84961,23133.59961,23193.80078,23193.80078,321700000
2020-02-19,23329.33008,23806.56055,22335.21094,22605.41016,22605.41016,292800000
2020-02-26,22374.14063,22456.55078,20834.28906,21082.73047,21082.73047,583000000
2020-03-04,20897.19922,21399.86914,18891.76953,19867.11914,19867.11914,627000000
2020-03-11,19758.25977,19974.83008,16378.94043,17011.5293,17011.5293,884100000
2020-03-18,17154.08008,18100.39063,16358.19043,18092.34961,18092.34961,693700000
2020-03-25,18446.80078,19564.38086,18446.80078,18917.00977,18917.00977,667900000
2020-04-01,18686.11914,19162.51953,17646.5,18950.17969,18950.17969,523000000
2020-04-08,19047.75977,19705.99023,18730.80078,19638.81055,19638.81055,423200000
2020-04-15,19589.25,19922.07031,19154.41016,19280.7793,19280.7793,407700000
2020-04-22,19109.17969,19841.7793,18858.25,19771.18945,19771.18945,379900000
2020-04-29,20105.67969,20365.89063,19551.73047,19619.34961,19619.34961,190000000
2020-05-06,19468.51953,20534.88086,19448.92969,20366.48047,20366.48047,309000000
2020-05-13,20140.91992,20659.46094,19832.88086,20433.44922,20433.44922,396500000
2020-05-20,20454.49023,21328.33984,20334.99023,21271.16992,21271.16992,348100000
2020-05-27,21249.31055,22401.78906,21142.7207,22325.60938,22325.60938,549300000
2020-06-03,22649.00977,23185.84961,22462.67969,23091.0293,23091.0293,471700000
2020-06-10,22939,23175.82031,21529.83008,22582.21094,22582.21094,480600000
2020-06-17,22517.14063,22693.89063,22125.34961,22549.05078,22549.05078,289300000
2020-06-24,22541.00977,22663.28906,21969.58984,22288.14063,22288.14063,362300000
2020-07-01,22338.30078,22742.2793,22039.56055,22614.68945,22614.68945,313400000
2020-07-08,22481.60938,22784.74023,22285.07031,22587.00977,22587.00977,341100000
2020-07-15,22817.91016,22965.56055,22580.18945,22884.2207,22884.2207,336500000
2020-07-22,22791.75,22855.31055,22429.57031,22657.38086,22657.38086,205000000
