Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,101.360001,102.739998,100.309998,101.779999,100.614647,21518200
2020-01-08,101.309998,103.889999,100.760002,102.919998,101.741592,26895900
2020-01-15,103.25,104.690002,102.480003,104.580002,103.382591,21906800
2020-01-22,105,105.620003,98.010002,100.410004,99.260338,31488200
2020-01-29,101.07,102.779999,95.919998,101.379997,100.219231,36636400
2020-02-05,101.760002,101.970001,98.970001,100.019997,98.874794,24957600
2020-02-12,100.739998,103.889999,100.440002,102,100.83213,22683900
2020-02-19,102.660004,103.389999,92.620003,92.900002,91.836327,36345300
2020-02-26,93.080002,94.980003,85.150002,90.93,89.888885,67569400
2020-03-04,92.080002,93.82,80.919998,88.300003,87.531174,54120500
2020-03-11,84,84.629997,62.400002,69.839996,69.231903,94665200
2020-03-18,64.790001,74.059998,60,72.330002,71.700218,87977400
2020-03-25,80.110001,86.860001,76.199997,82.739998,82.019585,79007600
2020-04-01,79.489998,88.870003,77.160004,84.160004,83.427216,52714100
2020-04-08,84.699997,87.769997,83.610001,87.470001,86.708397,25891100
2020-04-15,84.870003,90.25,83.709999,85.199997,84.45816,39380500
2020-04-22,86.980003,90.709999,86.419998,88.800003,88.026825,28278000
2020-04-29,90,91.389999,84.309998,87.199997,86.440742,37654400
2020-05-06,88.050003,91.669998,87.43,88.260002,87.491516,27957800
2020-05-13,87.379997,93.82,84.110001,91.510002,90.713219,38370300
2020-05-20,93.199997,97.43,92.370003,96.620003,95.778732,25086000
2020-05-27,98.120003,100.879997,96.93,100.739998,99.862854,40604100
2020-06-03,101.260002,104.690002,100.470001,102.629997,101.990181,34557600
2020-06-10,103,103.150002,93.440002,99.040001,98.422569,38287200
2020-06-17,99,102.220001,95.779999,101.919998,101.284607,31519100
2020-06-24,100.940002,101.849998,93.57,98.050003,97.438736,63751200
2020-07-01,98.5,100.029999,96.919998,97.07,96.464836,22436600
2020-07-08,97.5,98.980003,95.510002,96.760002,96.156776,25580100
2020-07-15,98.410004,99.040001,95.110001,98.360001,97.746803,28023500
2020-07-22,98.160004,100.18,96.160004,96.269997,95.66983,22361900
2020-07-29,96.43,99.290001,95.800003,97.330002,96.723221,29413200
2020-08-05,97.120003,107.330002,97.080002,105.120003,104.464661,34912300
2020-08-12,105.720001,107,103.379997,106.970001,106.303131,20022200
2020-08-19,107.690002,112.279999,107.349998,111.510002,110.814819,31930100
2020-08-26,111.919998,114.900002,110.5,114.839996,114.124054,21033600
2020-09-02,115.059998,117.410004,110.209999,112.720001,112.265427,24497500
2020-09-09,113.019997,120.480003,112.830002,119.269997,118.789009,30520400
2020-09-16,118.309998,119.690002,111.739998,116.870003,116.398689,48770300
2020-09-23,130.220001,130.380005,122.269997,126.349998,125.840454,75812700
2020-09-30,126.099998,130.440002,123.589996,127.650002,127.135216,36076300
2020-10-07,128.399994,131.339996,127.959999,129.199997,128.67897,21661000
2020-10-14,129.529999,130.190002,126.110001,128.490005,127.971832,22794000
2020-10-21,128.5,131.380005,126.68,127.989998,127.473846,20240700
2020-10-28,125.279999,126.400002,118.800003,124.589996,124.087547,29588200
2020-11-04,125.330002,136.350006,125.260002,127.709999,127.194969,27462200
2020-11-11,128.690002,132.600006,125.629997,132.210007,131.676834,27944300
2020-11-18,133.070007,135.990005,129.929993,134.699997,134.156784,27856800
2020-11-25,134.25,136.5,132.690002,135.440002,134.893799,21478300
2020-12-02,135.160004,140.440002,134.669998,139.119995,138.55896,24952000
2020-12-09,140.570007,140.570007,136.199997,139.389999,139.107178,28266300
2020-12-16,139.070007,147.949997,137.169998,142.449997,142.16098,55721900
2020-12-23,142.559998,143.600006,140.429993,141.570007,141.282776,12524100
2020-12-30,142.160004,142.970001,138.320007,141.229996,140.943451,16343600
2021-01-06,141.25,147.100006,139.529999,145.050003,144.755707,23213200
2021-01-13,144.830002,145.130005,138.410004,139.270004,138.987427,20384300
2021-01-20,140.380005,143.809998,134.710007,135.100006,134.825897,24129600
2021-01-27,132.220001,139.860001,130.270004,139.589996,139.306778,32725800
2021-02-03,139.699997,145.880005,138.009995,141.789993,141.502304,25103000
2021-02-10,142.449997,144.350006,140.899994,141.710007,141.422485,16457300
2021-02-17,141.300003,145.5,131.580002,136.130005,135.853806,37759900
2021-02-24,135.059998,139.179993,133.360001,137.020004,136.742004,29684600
2021-03-03,137.089996,138,129.190002,135.949997,135.949997,28971200
2021-03-10,136.5,146.149994,136.100006,144.649994,144.649994,25345800
2021-03-17,143.199997,146.660004,135.509995,137.119995,137.119995,53330500
2021-03-24,136.449997,137.919998,125.440002,132.949997,132.949997,49821600
2021-03-31,133.089996,137.710007,131.919998,137.160004,137.160004,22777800
2021-04-07,136.990005,138.240005,133.399994,133.539993,133.539993,35866700
2021-04-14,133.539993,134.770004,125.699997,127.110001,127.110001,39372500
2021-04-21,127.589996,131.699997,127.370003,131.600006,131.600006,29252800
