Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,1348.410034,1403.5,1346.48999,1395.109985,1395.109985,6589200
2020-01-08,1394.819946,1442.630005,1392.630005,1430.589966,1430.589966,7578900
2020-01-15,1433.02002,1489.880005,1431.660034,1482.25,1482.25,7449200
2020-01-22,1489.72998,1500.579956,1419.5,1450.5,1450.5,7437500
2020-01-29,1458.459961,1486.300049,1422.030029,1445.410034,1445.410034,13027700
2020-02-05,1463.609985,1529.880005,1429.680054,1510.060059,1510.060059,8785600
2020-02-12,1515.859985,1530.560059,1504,1519.439941,1519.439941,5139800
2020-02-19,1527.199951,1530.73999,1380.420044,1386.319946,1386.319946,9618400
2020-02-26,1394.97998,1413.670044,1268.209961,1337.719971,1337.719971,15215800
2020-03-04,1358.959961,1382.780029,1198.040039,1275.170044,1275.170044,14537100
2020-03-11,1248.27002,1256.930054,1049.099976,1118.060059,1118.060059,20408600
2020-03-18,1059.939941,1152.609985,1008.869995,1130.01001,1130.01001,20306300
2020-03-25,1124.579956,1173.400024,1083.01001,1161.949951,1161.949951,17682200
2020-04-01,1124,1220.780029,1075.079956,1182.560059,1182.560059,14234700
2020-04-08,1203.099976,1275.75,1182.329956,1265.22998,1265.22998,9821100
2020-04-15,1246.51001,1290,1205,1212.160034,1212.160034,11806100
2020-04-22,1241.109985,1294.099976,1230.380005,1232.589966,1232.589966,12142200
2020-04-29,1345,1371.01001,1296.01001,1349.02002,1349.02002,14177200
2020-05-06,1358,1415.530029,1345.130005,1375.180054,1375.180054,8117300
2020-05-13,1376.160034,1392.76001,1323.300049,1374.400024,1374.400024,9864300
2020-05-20,1389.160034,1445.109985,1387.420044,1421.369995,1421.369995,7114500
2020-05-27,1420,1444.459961,1394.599976,1442.310059,1442.310059,7625100
2020-06-03,1442.699951,1467.800049,1406.01001,1452.079956,1452.079956,8242900
2020-06-10,1461.51001,1472.77002,1385.800049,1446.469971,1446.469971,8834900
2020-06-17,1452.939941,1475.199951,1419,1463.97998,1463.97998,9272500
2020-06-24,1463.280029,1475.790039,1351.650024,1418.050049,1418.050049,11927500
2020-07-01,1419.170044,1521.319946,1414.180054,1489.920044,1489.920044,9323800
2020-07-08,1500.800049,1576.359985,1485.930054,1520.859985,1520.859985,9529100
2020-07-15,1523.22998,1587.050049,1488.27002,1555.920044,1555.920044,7474700
2020-07-22,1555.709961,1570.349976,1487.589966,1503.650024,1503.650024,7316400
2020-07-29,1505,1540.890015,1454,1473.300049,1473.300049,11647000
2020-08-05,1476.819946,1520.089966,1471.219971,1480.540039,1480.540039,7090900
2020-08-12,1487.119995,1557.369995,1485,1555.780029,1555.780029,5761500
2020-08-19,1552.48999,1608.880005,1534.459961,1605.849976,1605.849976,7124000
2020-08-26,1606.300049,1659.219971,1600.97998,1655.079956,1655.079956,7752700
2020-09-02,1668.01001,1726.099976,1516.5,1523.599976,1523.599976,11156500
2020-09-09,1548.900024,1573.660034,1493.02002,1535.119995,1535.119995,8433700
2020-09-16,1542.47998,1554.369995,1402.680054,1459.819946,1459.819946,10802500
2020-09-23,1452.089966,1472.98999,1402.150024,1466.02002,1466.02002,8260200
2020-09-30,1460.939941,1495.069946,1445.01001,1451.02002,1451.02002,7636400
2020-10-07,1459.310059,1588.420044,1433.22998,1567.069946,1567.069946,9478300
2020-10-14,1574.599976,1583.930054,1520.5,1551.079956,1551.079956,8499600
2020-10-21,1569.849976,1634.119995,1567.140015,1598.880005,1598.880005,9155500
2020-10-28,1550.01001,1681.319946,1508.47998,1645.660034,1645.660034,13805900
2020-11-04,1705.579956,1816.890015,1703,1737.719971,1737.719971,11809200
2020-11-11,1748.400024,1794.339966,1735.97998,1761.660034,1761.660034,6741900
2020-11-18,1756.640015,1768.359985,1710.180054,1763.900024,1763.900024,5921100
2020-11-25,1767.810059,1821.719971,1747.839966,1795.359985,1795.359985,5208500
2020-12-02,1795.359985,1843.829956,1785.170044,1811.329956,1811.329956,5846000
2020-12-09,1810.359985,1828.369995,1733.530029,1761.079956,1761.079956,6673000
2020-12-16,1769.109985,1769.109985,1694,1720.219971,1720.219971,9957800
2020-12-23,1723.930054,1788.469971,1721.199951,1757.76001,1757.76001,3983100
2020-12-30,1765,1767.76001,1707.140015,1740.050049,1740.050049,4989000
2021-01-06,1700.26001,1799.359985,1696.099976,1737.430054,1737.430054,9417400
2021-01-13,1727.319946,1803.839966,1711.709961,1784.469971,1784.469971,6287400
2021-01-20,1826.369995,1932.079956,1819.51001,1907.949951,1907.949951,11880200
2021-01-27,1874.910034,1949.369995,1797.280029,1919.119995,1919.119995,14443900
2021-02-03,2065.610107,2115,2013.550049,2075.389893,2075.389893,11349600
2021-02-10,2083.139893,2145.139893,2052.23999,2110.699951,2110.699951,4775000
2021-02-17,2093.97998,2122.439941,1990.22998,2060.120117,2060.120117,7245100
2021-02-24,2030.040039,2094.73999,2001.01001,2064.47998,2064.47998,7789800
2021-03-03,2051.949951,2113.73999,1994,2040.359985,2040.359985,10335300
2021-03-10,2061.399902,2113.679932,2019.329956,2083.889893,2083.889893,7328500
2021-03-17,2068.469971,2099,2002.930054,2041.329956,2041.329956,8282400
2021-03-24,2051.76001,2067.600098,1996.089966,2046.469971,2046.469971,7130200
2021-03-31,2054.399902,2228.98999,2047,2209.26001,2209.26001,8310000
2021-04-07,2213.100098,2273.969971,2213.100098,2254.429932,2254.429932,6479600
2021-04-14,2267.429932,2304.090088,2236.02002,2279.01001,2279.01001,6451300
2021-04-21,2272.050049,2324.530029,2240.320068,2309.929932,2309.929932,5416000
